22:28:06 : Epoch: 1
22:28:33 : Epoch: 1
22:28:55 : Epoch: 1
22:29:16 : Epoch: 1
22:30:32 : Epoch: 1
22:30:53 : Epoch: 1
22:31:24 : Epoch: 1
22:31:51 : Epoch: 1
22:32:48 : Epoch: 1
22:33:09 : Epoch: 1
22:36:23 : Epoch: 1
22:37:12 : Epoch: 1
22:39:02 : Epoch: 1
22:40:16 : Epoch 0001 | Step 0330 / 2968 | Loss 1.8671 | Time 73.5115
22:40:17 : Epoch 0001 | Step 0335 / 2968 | Loss 1.8583 | Time 74.6277
22:40:18 : Epoch 0001 | Step 0340 / 2968 | Loss 1.8480 | Time 75.7249
22:40:19 : Epoch 0001 | Step 0345 / 2968 | Loss 1.8416 | Time 76.8242
22:40:20 : Epoch 0001 | Step 0350 / 2968 | Loss 1.8381 | Time 77.9094
22:40:21 : Epoch 0001 | Step 0355 / 2968 | Loss 1.8303 | Time 79.0207
22:40:22 : Epoch 0001 | Step 0360 / 2968 | Loss 1.8246 | Time 80.1289
22:40:23 : Epoch 0001 | Step 0365 / 2968 | Loss 1.8167 | Time 81.2332
22:40:25 : Epoch 0001 | Step 0370 / 2968 | Loss 1.8079 | Time 82.3374
22:40:26 : Epoch 0001 | Step 0375 / 2968 | Loss 1.8044 | Time 83.4267
22:40:27 : Epoch 0001 | Step 0380 / 2968 | Loss 1.7975 | Time 84.5179
22:40:28 : Epoch 0001 | Step 0385 / 2968 | Loss 1.7928 | Time 85.6132
22:40:29 : Epoch 0001 | Step 0390 / 2968 | Loss 1.7880 | Time 86.7074
22:40:30 : Epoch 0001 | Step 0395 / 2968 | Loss 1.7819 | Time 87.7967
22:40:31 : Epoch 0001 | Step 0400 / 2968 | Loss 1.7795 | Time 88.8919
22:40:32 : Epoch 0001 | Step 0405 / 2968 | Loss 1.7752 | Time 89.9901
22:40:33 : Epoch 0001 | Step 0410 / 2968 | Loss 1.7694 | Time 91.2274
22:40:35 : Epoch 0001 | Step 0415 / 2968 | Loss 1.7629 | Time 92.4046
22:40:36 : Epoch 0001 | Step 0420 / 2968 | Loss 1.7567 | Time 93.6003
22:40:37 : Epoch 0001 | Step 0425 / 2968 | Loss 1.7507 | Time 94.7576
22:40:38 : Epoch 0001 | Step 0430 / 2968 | Loss 1.7414 | Time 95.8709
22:40:39 : Epoch 0001 | Step 0435 / 2968 | Loss 1.7349 | Time 96.9801
22:40:40 : Epoch 0001 | Step 0440 / 2968 | Loss 1.7301 | Time 98.0853
22:40:41 : Epoch 0001 | Step 0445 / 2968 | Loss 1.7220 | Time 99.1756
22:40:42 : Epoch 0001 | Step 0450 / 2968 | Loss 1.7172 | Time 100.2718
22:40:44 : Epoch 0001 | Step 0455 / 2968 | Loss 1.7112 | Time 101.3611
22:40:45 : Epoch 0001 | Step 0460 / 2968 | Loss 1.7055 | Time 102.4493
22:40:46 : Epoch 0001 | Step 0465 / 2968 | Loss 1.6993 | Time 103.5396
22:40:47 : Epoch 0001 | Step 0470 / 2968 | Loss 1.6921 | Time 104.6378
22:40:48 : Epoch 0001 | Step 0475 / 2968 | Loss 1.6852 | Time 105.7719
22:40:49 : Epoch 0001 | Step 0480 / 2968 | Loss 1.6787 | Time 106.8861
22:40:50 : Epoch 0001 | Step 0485 / 2968 | Loss 1.6742 | Time 108.0067
22:40:51 : Epoch 0001 | Step 0490 / 2968 | Loss 1.6704 | Time 109.1270
22:40:52 : Epoch 0001 | Step 0495 / 2968 | Loss 1.6659 | Time 110.2274
22:40:54 : Epoch 0001 | Step 0500 / 2968 | Loss 1.6591 | Time 111.3546
22:40:55 : Epoch 0001 | Step 0505 / 2968 | Loss 1.6523 | Time 112.4747
22:40:56 : Epoch 0001 | Step 0510 / 2968 | Loss 1.6467 | Time 113.5780
22:40:57 : Epoch 0001 | Step 0515 / 2968 | Loss 1.6409 | Time 114.6771
22:40:58 : Epoch 0001 | Step 0520 / 2968 | Loss 1.6384 | Time 115.8364
22:40:59 : Epoch 0001 | Step 0525 / 2968 | Loss 1.6331 | Time 116.9651
22:41:00 : Epoch 0001 | Step 0530 / 2968 | Loss 1.6277 | Time 118.0654
22:41:01 : Epoch 0001 | Step 0535 / 2968 | Loss 1.6238 | Time 119.1767
22:41:03 : Epoch 0001 | Step 0540 / 2968 | Loss 1.6201 | Time 120.3190
22:41:04 : Epoch 0001 | Step 0545 / 2968 | Loss 1.6181 | Time 121.4329
22:41:05 : Epoch 0001 | Step 0550 / 2968 | Loss 1.6139 | Time 122.5324
22:41:06 : Epoch 0001 | Step 0555 / 2968 | Loss 1.6105 | Time 123.6766
22:41:07 : Epoch 0001 | Step 0560 / 2968 | Loss 1.6073 | Time 124.7964
22:41:08 : Epoch 0001 | Step 0565 / 2968 | Loss 1.6024 | Time 125.8937
22:41:09 : Epoch 0001 | Step 0570 / 2968 | Loss 1.5985 | Time 126.9839
22:41:10 : Epoch 0001 | Step 0575 / 2968 | Loss 1.5932 | Time 128.0762
22:41:11 : Epoch 0001 | Step 0580 / 2968 | Loss 1.5890 | Time 129.1734
22:41:13 : Epoch 0001 | Step 0585 / 2968 | Loss 1.5852 | Time 130.2777
22:41:14 : Epoch 0001 | Step 0590 / 2968 | Loss 1.5810 | Time 131.3729
22:41:15 : Epoch 0001 | Step 0595 / 2968 | Loss 1.5779 | Time 132.4671
22:41:16 : Epoch 0001 | Step 0600 / 2968 | Loss 1.5722 | Time 133.5614
22:41:17 : Epoch 0001 | Step 0605 / 2968 | Loss 1.5667 | Time 134.6536
22:41:18 : Epoch 0001 | Step 0610 / 2968 | Loss 1.5640 | Time 135.7539
22:41:19 : Epoch 0001 | Step 0615 / 2968 | Loss 1.5600 | Time 136.8441
22:41:20 : Epoch 0001 | Step 0620 / 2968 | Loss 1.5567 | Time 137.9437
22:41:21 : Epoch 0001 | Step 0625 / 2968 | Loss 1.5539 | Time 139.0488
22:41:22 : Epoch 0001 | Step 0630 / 2968 | Loss 1.5495 | Time 140.1510
22:41:23 : Epoch 0001 | Step 0635 / 2968 | Loss 1.5472 | Time 141.2412
22:41:25 : Epoch 0001 | Step 0640 / 2968 | Loss 1.5441 | Time 142.3719
22:41:26 : Epoch 0001 | Step 0645 / 2968 | Loss 1.5406 | Time 143.4799
22:41:27 : Epoch 0001 | Step 0650 / 2968 | Loss 1.5377 | Time 144.5732
22:41:28 : Epoch 0001 | Step 0655 / 2968 | Loss 1.5351 | Time 145.6748
22:41:29 : Epoch 0001 | Step 0660 / 2968 | Loss 1.5311 | Time 146.7797
22:41:30 : Epoch 0001 | Step 0665 / 2968 | Loss 1.5273 | Time 147.8953
22:41:31 : Epoch 0001 | Step 0670 / 2968 | Loss 1.5233 | Time 149.0066
22:41:32 : Epoch 0001 | Step 0675 / 2968 | Loss 1.5199 | Time 150.1553
22:41:34 : Epoch 0001 | Step 0680 / 2968 | Loss 1.5186 | Time 151.2826
22:41:35 : Epoch 0001 | Step 0685 / 2968 | Loss 1.5168 | Time 152.4014
22:41:36 : Epoch 0001 | Step 0690 / 2968 | Loss 1.5138 | Time 153.5147
22:41:37 : Epoch 0001 | Step 0695 / 2968 | Loss 1.5108 | Time 154.6160
22:41:38 : Epoch 0001 | Step 0700 / 2968 | Loss 1.5078 | Time 155.7259
22:41:39 : Epoch 0001 | Step 0705 / 2968 | Loss 1.5040 | Time 156.8463
22:41:40 : Epoch 0001 | Step 0710 / 2968 | Loss 1.5012 | Time 157.9446
22:41:41 : Epoch 0001 | Step 0715 / 2968 | Loss 1.4990 | Time 159.0387
22:41:42 : Epoch 0001 | Step 0720 / 2968 | Loss 1.4966 | Time 160.1439
22:41:43 : Epoch 0001 | Step 0725 / 2968 | Loss 1.4931 | Time 161.2343
22:41:45 : Epoch 0001 | Step 0730 / 2968 | Loss 1.4903 | Time 162.3298
22:41:46 : Epoch 0001 | Step 0735 / 2968 | Loss 1.4873 | Time 163.4218
22:41:47 : Epoch 0001 | Step 0740 / 2968 | Loss 1.4848 | Time 164.5287
22:41:48 : Epoch 0001 | Step 0745 / 2968 | Loss 1.4823 | Time 165.6261
22:41:49 : Epoch 0001 | Step 0750 / 2968 | Loss 1.4790 | Time 166.7153
22:41:50 : Epoch 0001 | Step 0755 / 2968 | Loss 1.4755 | Time 167.8102
22:41:51 : Epoch 0001 | Step 0760 / 2968 | Loss 1.4747 | Time 168.8914
22:41:52 : Epoch 0001 | Step 0765 / 2968 | Loss 1.4717 | Time 169.9833
22:41:53 : Epoch 0001 | Step 0770 / 2968 | Loss 1.4701 | Time 171.0775
22:41:54 : Epoch 0001 | Step 0775 / 2968 | Loss 1.4667 | Time 172.1728
22:41:55 : Epoch 0001 | Step 0780 / 2968 | Loss 1.4649 | Time 173.2741
