23:55:15 : Epoch: 1
01:13:42 : Epoch 0001 | Step 0330 / 2968 | Loss 1.5275 | Time 82.7628
01:13:43 : Epoch 0001 | Step 0335 / 2968 | Loss 1.5266 | Time 84.0081
01:13:44 : Epoch 0001 | Step 0340 / 2968 | Loss 1.5258 | Time 85.2543
01:13:46 : Epoch 0001 | Step 0345 / 2968 | Loss 1.5241 | Time 86.5086
01:13:47 : Epoch 0001 | Step 0350 / 2968 | Loss 1.5218 | Time 87.7619
01:13:48 : Epoch 0001 | Step 0355 / 2968 | Loss 1.5221 | Time 89.0122
01:13:49 : Epoch 0001 | Step 0360 / 2968 | Loss 1.5219 | Time 90.2595
01:13:51 : Epoch 0001 | Step 0365 / 2968 | Loss 1.5211 | Time 91.5037
01:13:52 : Epoch 0001 | Step 0370 / 2968 | Loss 1.5205 | Time 92.7500
01:13:53 : Epoch 0001 | Step 0375 / 2968 | Loss 1.5194 | Time 93.9933
01:13:54 : Epoch 0001 | Step 0380 / 2968 | Loss 1.5186 | Time 95.2406
01:13:56 : Epoch 0001 | Step 0385 / 2968 | Loss 1.5181 | Time 96.4949
01:13:57 : Epoch 0001 | Step 0390 / 2968 | Loss 1.5173 | Time 97.7421
01:13:58 : Epoch 0001 | Step 0395 / 2968 | Loss 1.5163 | Time 98.9844
01:13:59 : Epoch 0001 | Step 0400 / 2968 | Loss 1.5152 | Time 100.2377
01:14:01 : Epoch 0001 | Step 0405 / 2968 | Loss 1.5150 | Time 101.4900
01:14:02 : Epoch 0001 | Step 0410 / 2968 | Loss 1.5140 | Time 102.7313
01:14:03 : Epoch 0001 | Step 0415 / 2968 | Loss 1.5130 | Time 103.9625
01:14:04 : Epoch 0001 | Step 0420 / 2968 | Loss 1.5127 | Time 105.2018
01:14:06 : Epoch 0001 | Step 0425 / 2968 | Loss 1.5127 | Time 106.4511
01:14:07 : Epoch 0001 | Step 0430 / 2968 | Loss 1.5116 | Time 107.6914
01:14:08 : Epoch 0001 | Step 0435 / 2968 | Loss 1.5111 | Time 108.9407
01:14:09 : Epoch 0001 | Step 0440 / 2968 | Loss 1.5105 | Time 110.1930
01:14:11 : Epoch 0001 | Step 0445 / 2968 | Loss 1.5109 | Time 111.4452
01:14:12 : Epoch 0001 | Step 0450 / 2968 | Loss 1.5094 | Time 112.6845
01:14:13 : Epoch 0001 | Step 0455 / 2968 | Loss 1.5084 | Time 113.9228
01:14:14 : Epoch 0001 | Step 0460 / 2968 | Loss 1.5070 | Time 115.1551
01:14:16 : Epoch 0001 | Step 0465 / 2968 | Loss 1.5062 | Time 116.4053
01:14:17 : Epoch 0001 | Step 0470 / 2968 | Loss 1.5054 | Time 117.6586
01:14:18 : Epoch 0001 | Step 0475 / 2968 | Loss 1.5039 | Time 118.8949
01:14:19 : Epoch 0001 | Step 0480 / 2968 | Loss 1.5032 | Time 120.1452
01:14:21 : Epoch 0001 | Step 0485 / 2968 | Loss 1.5022 | Time 121.3915
01:14:22 : Epoch 0001 | Step 0490 / 2968 | Loss 1.5010 | Time 122.6478
01:14:23 : Epoch 0001 | Step 0495 / 2968 | Loss 1.5007 | Time 123.8970
01:14:24 : Epoch 0001 | Step 0500 / 2968 | Loss 1.4998 | Time 125.1463
01:14:26 : Epoch 0001 | Step 0505 / 2968 | Loss 1.4991 | Time 126.3966
01:14:27 : Epoch 0001 | Step 0510 / 2968 | Loss 1.4990 | Time 127.6439
01:14:28 : Epoch 0001 | Step 0515 / 2968 | Loss 1.4985 | Time 128.8997
01:14:29 : Epoch 0001 | Step 0520 / 2968 | Loss 1.4984 | Time 130.1571
